구,CultureBudget,Cul_Goverment,CulArtBudget,Cul_Art,donation_index,budget_index,finanace_index
강서구,67.15770748440264,104.26229508196721,32.52125716666666,61.9848778257457,191.14484801686524,66.48153438969555,128.81319120328038
금정구,279.6315064122635,337.8142076502732,31.135753133776213,14.252385454173726,30.684279897909995,165.70846316262165,98.19637153026582
기장구,270.23195935568384,237.6502732240437,109.58293532304728,51.90635176893691,175.33874227377137,167.34287991792795,171.34081109584966
남구,68.16147937259409,79.18032786885246,109.58293532304728,205.7871288979824,100.0,115.67796786561905,107.83898393280953
동구,366.7164544563168,15.355191256830599,976.5286828035224,340.85439117277707,90.33354591532327,424.8636799223617,257.5986129188425
동래구,27.75807379199307,39.34426229508197,17.806345877324333,82.11070206220175,114.46124297829219,41.75484600665028,78.10804449247124
부산진구,42.76273830882953,34.8087431693989,39.768019819394986,119.03721169996022,46.75699793967237,59.09417824939591,52.925588094534135
북구,69.64381636204872,76.6120218579235,18.750814998201687,34.46290426675014,48.705206187158716,49.86738937123101,49.28629777919487
사상구,68.63055289131493,87.26775956284153,40.08648240508572,74.76438019093209,72.57075721886649,67.68729376254356,70.12902549070503
사하구,33.93472775344808,35.73770491803279,29.104191979232247,109.78056547526181,100.0,52.139297531493725,76.06964876574686
서구,61.69837778886964,110.87431693989069,22.57179882461023,46.82811883782072,211.57541567701745,60.493153097797816,136.03428438740764
수영구,61.366654091570624,101.5846994535519,68.07598797917711,141.99589666480574,72.575106593779,93.25580954727634,82.91545807052768
연제구,29.314678613303197,31.147540983606557,38.486008859579925,168.0474878810157,144.5997420767101,66.74892908437636,105.67433558054323
영도구,65.78990029554119,105.73770491803278,32.94203588153127,33.672525439407956,4.870520618715872,59.5355416336283,32.203031126172085
중구,47.30512619241464,167.26775956284152,18.551493167457792,64.09224646012488,116.98990526155524,74.30415634570971,95.64703080363248
해운대구,39.896246044571825,34.75409836065574,14.505252204330848,50.19783095957132,79.39368934436266,34.838356892282434,57.116023118322545
