구,CultureWorker,Performance,ConApplicants,ContentsG,ContentsH,ManPowerIndex,ContentsIndex,ArtCreationProductionIndex
강서구,103.72388737511353,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,108.15015574057831,160.2301285633032,134.19014215194076
금정구,131.17505995203837,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,117.30054659955324,160.2301285633032,138.7653375814282
기장구,150.1930501930502,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,123.63987667989052,160.2301285633032,141.93500262159685
남구,92.37199582027168,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,104.36619188896437,160.2301285633032,132.29816022613377
동구,113.27623126338328,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,111.33427037000156,160.2301285633032,135.78219946665237
동래구,106.6147859922179,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,109.11378861294645,160.2301285633032,134.67195858812482
부산진구,108.74999999999999,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,109.82552661554047,160.2301285633032,135.02782758942183
북구,113.03630363036304,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,111.25429449232816,160.2301285633032,135.74221152781567
사상구,106.203007518797,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,108.97652912180615,160.2301285633032,134.60332884255467
사하구,89.39157566302653,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,103.37271850321599,160.2301285633032,131.8014235332596
서구,97.47899159663865,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,106.06852381442002,160.2301285633032,133.1493261888616
수영구,97.46300211416491,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,106.06319398692877,160.2301285633032,133.14666127511597
연제구,121.8809980806142,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,114.20252597574522,160.2301285633032,137.21632726952421
중구,120.07575757575756,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,113.600779140793,160.2301285633032,136.9154538520481
해운대구,110.14925373134328,98.81422924901186,121.91235059760956,165.61514195583595,154.84511517077044,110.29194452598824,160.2301285633032,135.26103654464572
