구,CultureBudget,Cul_Goverment,CulArtBudget,Cul_Art,budget_index,donation_index,finanace_index
강서구,115.86843203402948,101.8867924528302,103.0946145809897,88.97558443762475,102.45635587636852,100.0,101.22817793818426
금정구,109.26426769906512,96.29569718537691,140.37560844980106,128.4734812266558,118.60226364022472,100.0,109.30113182011236
기장구,107.97796090673324,97.40170154058404,169.74622821241343,157.2045135757223,133.08260105886325,inf,inf
남구,109.49067128494889,99.7239475500345,169.74622821241343,155.0325943026233,133.498360337505,171.79796662617514,152.64816348184007
동구,108.66997162529195,101.42348754448398,103.65432601976356,95.38451558373173,102.28307519331781,60.41368078175896,81.34837798753838
동래구,104.46282502412043,92.5,99.75635734521484,95.49460042094508,98.05344569757008,92.5192135008442,95.28632959920714
부산진구,109.80770534465098,102.66875981161697,167.36292726115175,152.41455664322763,133.06348726516183,171.42857142857142,152.24602934686664
북구,110.63476750949073,99.28673323823111,233.94200272547562,211.45432669292413,163.8294575415304,100.0,131.91472877076518
사상구,107.79801558919553,100.81402629931122,99.00764565802747,91.8455178575207,99.86630135101373,100.0,99.93315067550687
사하구,131.7018868480903,121.55963302752293,70.17924700666269,53.286440070225005,94.18180173812524,152.1395845745259,123.16069315632558
서구,101.03431430531703,95.26860522424839,100.36769694685262,99.34020697517687,99.00270586289872,3102.8571428571427,1600.9299243600208
수영구,112.97492633270056,102.04410973641743,101.32295887616922,89.6862358447415,101.50705769750718,131.86630973451327,116.68668371601022
연제구,103.39678892005605,100.0,120.26457428182349,116.3136452668845,109.99375211719102,152.1395845745259,131.06666834585846
중구,104.75995380878662,100.20671834625323,112.42145281831463,107.31338524977988,106.1753775557836,100.0,103.0876887778918
해운대구,105.44482629047343,96.70042469781119,119.64068894958768,113.46283469613594,108.81219365850205,100.0,104.40609682925103
